         1          1        169
         1          1       1873
         1          1       2220
         1          1       2589
         1          1       3142
         1          1       3350
         2          2       1311
         2          2       1529
         2          2       2021
         2          2       2548
         2          2       2637
         2          2       2869
         2          2       3078
         3          3        229
         3          3       2063
         4          4       1286
         4          4       1396
         4          4       1831
         4          4       2080
         4          4       2151
         4          4       2324
         4          4       2375
         4          4       2410
         4          4       2509
         5          5         23
         5          5        186
         5          5       1694
         5          5       2153
         5          5       3262
         5          5       3905
         6          6        150
         6          6       2187
         6          6       2208
         6          6       3147
         7          7        111
         7          7        146
         7          7        679
         7          7       1349
         7          7       1593
         7          7       1678
         7          7       3056
         8          8       1233
         8          8       1512
         8          8       3465
         8          8       3572
         8          8       3832
         9          9        348
         9          9        471
         9          9       1233
         9          9       3855
         9          9       3963
        10         10        459
        10         10        722
        10         10       1713
        10         10       2548
        10         10       3250
        11         11       1577
        11         11       1647
        11         11       1753
        11         11       2248
        11         11       2260
        11         11       3241
        12         12        809
        12         12        893
        12         12       1638
        13         13        205
        13         13        599
        13         13       3348
        13         13       3402
        14         14        220
        14         14        387
        14         14       1476
        14         14       2277
        14         14       2761
        14         14       3871
        15         15        272
        15         15        648
        15         15       1307
        15         15       1524
        15         15       1765
        15         15       2535
        16         16        234
        16         16       1464
        16         16       1504
        16         16       3356
        17         17        147
        17         17       3054
        17         17       3459
        18         18        236
        18         18       1428
        18         18       2228
        18         18       2382
        19         19         29
        19         19        214
        19         19        504
        19         19       3514
        19         19       3793
        20         20       2058
        20         20       2527
        21         21        924
        21         21       1697
        21         21       3468
        21         21       3810
        22         22        432
        22         22        443
        22         22        613
        22         22        845
        22         22       1113
        22         22       1836
        23         23         21
        23         23        123
        23         23        566
        23         23        771
        23         23        930
        23         23       2457
        24         24        450
        24         24       1402
        25         25       1700
        25         25       2412
        26         26        543
        26         26       2984
        26         26       3927
        26         26       3931
        26         26       3934
        27         27        707
        27         27       1474
        27         27       3192
        27         27       3371
        28         28        732
        28         28       1991
        28         28       2947
        29         29        152
        29         29        744
        29         29        901
        29         29       1183
        29         29       2387
        29         29       3106
        30         30        448
        30         30        530
        30         30        803
        30         30       2416
        30         30       2428
        30         30       2926
        30         30       3368
        30         30       3653
        31         31        459
        31         31        595
        31         31        732
        31         31       2347
        31         31       2699
        31         31       3268
        32         32         87
        32         32        787
        32         32       3719
        33         33       1474
        33         33       1610
        33         33       2289
        34         34        491
        34         34        539
        34         34       3086
        35         35          7
        35         35        446
        35         35       3193
        36         36        858
        36         36       2744
        36         36       3185
        36         36       3666
        37         37       1567
        37         37       2680
        38         38        127
        38         38       1618
        38         38       2877
        39         39        190
        39         39        667
        39         39        998
        39         39       1143
        39         39       1457
        39         39       1779
        39         39       2164
        39         39       2339
        40         40        192
        40         40       1873
        40         40       3398
        40         40       3871
        41         41       3079
        41         41       3821
        42         42       1318
        42         42       1794
        42         42       1820
        42         42       2786
        42         42       2964
        42         42       3722
        42         42       3954
        43         43         81
        43         43        368
        43         43       1072
        43         43       3180
        43         43       3906
        44         44       1465
        44         44       1897
        44         44       3089
        45         45         24
        45         45       1023
        45         45       2590
        45         45       2946
        45         45       3752
        46         46       2990
        47         47       3231
        47         47       3492
        47         47       3934
        48         48        517
        48         48       2298
        48         48       3647
        49         49         40
        49         49        604
        49         49       1638
        50         50         63
        50         50       1170
        50         50       1881
        50         50       3094
        50         50       3538
        51         51       1126
        51         51       2745
        51         51       3331
        52         52        731
        52         52       1888
        52         52       2831
        53         53        799
        53         53       1148
        53         53       1750
        53         53       2009
        53         53       2745
        53         53       3267
        53         53       3366
        54         54       1738
        54         54       1817
        54         54       1952
        54         54       3024
        54         54       3175
        54         54       3319
        55         55        629
        55         55       1145
        55         55       1341
        55         55       2305
        55         55       2337
        56         56       2153
        56         56       3331
        57         57         68
        57         57       2529
        57         57       3492
        58         58        930
        58         58       1624
        58         58       2314
        58         58       2397
        59         59        140
        59         59       1241
        59         59       1394
        59         59       1731
        59         59       2338
        59         59       2557
        59         59       3136
        60         60       2000
        60         60       2476
        60         60       2527
        60         60       3411
        61         61        163
        61         61        171
        61         61        423
        61         61       1014
        61         61       2107
        61         61       2247
        61         61       2600
        61         61       3286
        62         62        559
        62         62       1382
        62         62       2115
        62         62       2139
        63         63        142
        63         63       1632
        63         63       2242
        63         63       2626
